desc,title_tag,website_name,website_url
"
			
                                    A premier electronics assembly training and IPC certification company.  Our programs maximize technical competence thus improving your bottom line.  A full-service solution to any manufacturing quality problem.
                                    ",Premier IPC Training and Certification - Blackfox Institute,Blackfox Training Institute ,http://www.blackfox.com/
"
			
                                    Offers training aviation, computers and telecommunications fields.  Class database and downloadable catalog.
                                    ",#台北 - AeSA 亞太品牌商務加速器,Aviation & Electronic Schools of America ,http://www.aesa.com/
"
			
                                    Masters degree course for IT professionals moving into technology management positions. Based in New York.
                                    ",Academics | Master's Degrees Technology Management | Columbia University School of Professional Studies,Columbia University ,http://ce.columbia.edu/technology-management
"
			
                                    Helps businesses and consultants maximize the use of common technology to facilitate the exchange of information.
                                    ",Assess Communicate LLC - Emancipate the POWER of INFORMATION,Assess Communicate LLC ,http://www.assesscommunicate.com/
"
			
                                    Team building activities for children, families and corporate events. Based in Vancouver, British Columbia.
                                    ","Corporate Team Building, Adventure Race, Orienteering, Outdoor Events, Leadership, Programs & Games",Ultimate Outdoor Adventures ,http://www.uoadventures.com/
"
			
                                    Specializes in team building simulations and sessions for rapidly changing organizations in Canada, Asia and Jamaica.
                                    ","Accelerated Learning, Toronto, Talent Development, Experiential Learning, The Training Oasis, Toronto, Dubai, Jamaica","The Training Oasis, Inc. ",http://www.thetrainingoasis.com/
"
			
                                    Imaginative and fun teambuilding event solutions for corporate events.
                                    ",Team Building Wild Events,Wild Events ,http://www.wildevents.co.uk/
"
			
                                    Opportunities for professional development in manufacturing and distribution technology.
                                    ",APICS New York City-Long Island Chapter - Home Page,"APICS, Long Island, NY Chapter, ",http://www.apicsnyc-li.org/
"
			
                                    Specializing in an approach to enhance interaction between departments of a work force by strengthening connections and creating bonds. Operating in Maryland and Virginia.
                                    ","Upward Enterprises - Team Building | Rope and Obsticle Courses,Comments Box SVG icons","Upward Enterprises, Inc. ",http://www.upwardenterprises.com/
"
			
                                    Offers indoor team building and highly interactive entertainment programs that develop better performing teams with improved morale.
                                    ",Teammania - The Corporate Small Team Activity Specialist | corporate and conference team bonding and entertainment,Teammania ,http://www.teammania.com.au/
"
			
                                    Technical training organization specialized in short course technical training in space, communications, defense, sonar, radar, and signal processing.
                                    ","Welcome to ATI Courses - ATI Courses - Training Rocket Scientists,Welcome to ATI Courses - ATI Courses - Training Rocket Scientists ATI Courses,Welcome to ATI Courses - ATI Courses - Training Rocket Scientists",Applied Technology Institute (ATI) ,http://www.aticourses.com/
"
			
                                    Utilizes experiential activities to build and bond local and global high performance teams. Outdoor adventures add impact to team interaction and understanding. Based in Birmingham, MI.
                                    ",The #1 Team Building Company » teambuilding.com,Teambuilding Adventures ,http://www.teambuilding.com/
"
			
                                    Team building success coach who turns participants into powerful, cohesive teams.
                                    ","Fun Team Building Programs and Workshops in Atlanta, GA",Team Building with Larry Lipman ,http://www.funteambuilding.com/
"
			
                                    Corporate team building specialist, working within an environment where everyone has equal participation. Located in the UK. 
                                    ", Corporate Events & Activities - Team Challenge Company,Team Challenge Company ,http://www.teamchallenge-company.co.uk/
"
			
                                    Team building dinners, scavenger hunts, summer outings and team theater games.
                                    ",Corporate Team Building & Team Bonding Activities And Events | TeamBonding,Team Bonding.com ,http://www.teambonding.com/
